============================================================
  PARCL INTELLIGENCE — Batch Permit Geocoder
============================================================
  Loaded 13,765 cached geocodes
  Total permits in DB:  125,795
  Scope:                125,795 (all towns)
  Geocode cache:        13,765 entries

  Resuming from offset 20
  Phase 1: Scanning permits and extracting addresses...
    Scanned 10,000 permits, found 6,688 unique addresses...
    Scanned 20,000 permits, found 9,672 unique addresses...
    Scanned 30,000 permits, found 11,538 unique addresses...
    Scanned 40,000 permits, found 13,736 unique addresses...
    Scanned 50,000 permits, found 15,423 unique addresses...
    Scanned 60,000 permits, found 16,677 unique addresses...
    Scanned 70,000 permits, found 21,481 unique addresses...
    Scanned 80,000 permits, found 24,104 unique addresses...
    Scanned 90,000 permits, found 25,785 unique addresses...
    Scanned 100,000 permits, found 26,986 unique addresses...
    Scanned 110,000 permits, found 28,748 unique addresses...
    Scanned 120,000 permits, found 30,149 unique addresses...

  Found 30,797 unique addresses across 125,763 permits
  Permits without extractable address: 32

  Phase 2: Geocoding 30,797 unique addresses...
  (Cached addresses are instant, new ones take ~1 sec each)
    Geocoded 8,000/30,797 (26.0%) | 0.5 addr/sec | API: 7983 | Cache: 17 | Success: 5,090
    Geocoded 8,100/30,797 (26.3%) | 0.5 addr/sec | API: 8083 | Cache: 17 | Success: 5,149
    Geocoded 8,200/30,797 (26.6%) | 0.5 addr/sec | API: 8183 | Cache: 17 | Success: 5,204
    Geocoded 8,300/30,797 (27.0%) | 0.5 addr/sec | API: 8283 | Cache: 17 | Success: 5,259
    Geocoded 8,400/30,797 (27.3%) | 0.5 addr/sec | API: 8383 | Cache: 17 | Success: 5,324
    Geocoded 8,500/30,797 (27.6%) | 0.5 addr/sec | API: 8483 | Cache: 17 | Success: 5,400
    Geocoded 8,600/30,797 (27.9%) | 0.5 addr/sec | API: 8583 | Cache: 17 | Success: 5,467
    Geocoded 8,700/30,797 (28.2%) | 0.5 addr/sec | API: 8683 | Cache: 17 | Success: 5,539
    Geocoded 8,800/30,797 (28.6%) | 0.5 addr/sec | API: 8783 | Cache: 17 | Success: 5,597
    Geocoded 8,900/30,797 (28.9%) | 0.5 addr/sec | API: 8883 | Cache: 17 | Success: 5,674
    Geocoded 9,000/30,797 (29.2%) | 0.5 addr/sec | API: 8983 | Cache: 17 | Success: 5,740
    Geocoded 9,100/30,797 (29.5%) | 0.5 addr/sec | API: 9083 | Cache: 17 | Success: 5,802
    Geocoded 9,200/30,797 (29.9%) | 0.5 addr/sec | API: 9183 | Cache: 17 | Success: 5,868
    Geocoded 9,300/30,797 (30.2%) | 0.5 addr/sec | API: 9283 | Cache: 17 | Success: 5,926
    Geocoded 9,400/30,797 (30.5%) | 0.5 addr/sec | API: 9383 | Cache: 17 | Success: 5,985
    Geocoded 9,500/30,797 (30.8%) | 0.5 addr/sec | API: 9483 | Cache: 17 | Success: 6,049
    Geocoded 9,600/30,797 (31.2%) | 0.5 addr/sec | API: 9583 | Cache: 17 | Success: 6,110
    Geocoded 9,700/30,797 (31.5%) | 0.5 addr/sec | API: 9683 | Cache: 17 | Success: 6,179
    Geocoded 9,800/30,797 (31.8%) | 0.5 addr/sec | API: 9783 | Cache: 17 | Success: 6,241
    Geocoded 9,900/30,797 (32.1%) | 0.5 addr/sec | API: 9883 | Cache: 17 | Success: 6,307
    Geocoded 10,000/30,797 (32.5%) | 0.5 addr/sec | API: 9983 | Cache: 17 | Success: 6,371
    Geocoded 10,100/30,797 (32.8%) | 0.5 addr/sec | API: 10083 | Cache: 17 | Success: 6,435
    Geocoded 10,200/30,797 (33.1%) | 0.5 addr/sec | API: 10183 | Cache: 17 | Success: 6,491
    Geocoded 10,300/30,797 (33.4%) | 0.5 addr/sec | API: 10283 | Cache: 17 | Success: 6,560
    Geocoded 10,400/30,797 (33.8%) | 0.5 addr/sec | API: 10383 | Cache: 17 | Success: 6,626
    Geocoded 10,500/30,797 (34.1%) | 0.5 addr/sec | API: 10483 | Cache: 17 | Success: 6,679
    Geocoded 10,600/30,797 (34.4%) | 0.5 addr/sec | API: 10583 | Cache: 17 | Success: 6,730
    Geocoded 10,700/30,797 (34.7%) | 0.5 addr/sec | API: 10683 | Cache: 17 | Success: 6,795
    Geocoded 10,800/30,797 (35.1%) | 0.5 addr/sec | API: 10783 | Cache: 17 | Success: 6,851
    Geocoded 10,900/30,797 (35.4%) | 0.5 addr/sec | API: 10883 | Cache: 17 | Success: 6,916
    Geocoded 11,000/30,797 (35.7%) | 0.5 addr/sec | API: 10983 | Cache: 17 | Success: 6,973
    Geocoded 11,100/30,797 (36.0%) | 0.5 addr/sec | API: 11083 | Cache: 17 | Success: 7,027
    Geocoded 11,200/30,797 (36.4%) | 0.5 addr/sec | API: 11183 | Cache: 17 | Success: 7,095
    Geocoded 11,300/30,797 (36.7%) | 0.5 addr/sec | API: 11283 | Cache: 17 | Success: 7,152
    Geocoded 11,400/30,797 (37.0%) | 0.5 addr/sec | API: 11383 | Cache: 17 | Success: 7,207
    Geocoded 11,500/30,797 (37.3%) | 0.5 addr/sec | API: 11483 | Cache: 17 | Success: 7,259
    Geocoded 11,600/30,797 (37.7%) | 0.5 addr/sec | API: 11583 | Cache: 17 | Success: 7,321
    Geocoded 11,700/30,797 (38.0%) | 0.5 addr/sec | API: 11683 | Cache: 17 | Success: 7,384
    Geocoded 11,800/30,797 (38.3%) | 0.5 addr/sec | API: 11783 | Cache: 17 | Success: 7,442
    Geocoded 11,900/30,797 (38.6%) | 0.5 addr/sec | API: 11883 | Cache: 17 | Success: 7,501
    Geocoded 12,000/30,797 (39.0%) | 0.5 addr/sec | API: 11983 | Cache: 17 | Success: 7,558
    Geocoded 12,100/30,797 (39.3%) | 0.5 addr/sec | API: 12083 | Cache: 17 | Success: 7,613
    Geocoded 12,200/30,797 (39.6%) | 0.5 addr/sec | API: 12183 | Cache: 17 | Success: 7,658
    Geocoded 12,300/30,797 (39.9%) | 0.5 addr/sec | API: 12283 | Cache: 17 | Success: 7,691
    Geocoded 12,400/30,797 (40.3%) | 0.5 addr/sec | API: 12383 | Cache: 17 | Success: 7,729
    Geocoded 12,500/30,797 (40.6%) | 0.5 addr/sec | API: 12483 | Cache: 17 | Success: 7,766
    Geocoded 12,600/30,797 (40.9%) | 0.5 addr/sec | API: 12583 | Cache: 17 | Success: 7,801
    Geocoded 12,700/30,797 (41.2%) | 0.5 addr/sec | API: 12683 | Cache: 17 | Success: 7,840
    Geocoded 12,800/30,797 (41.6%) | 0.5 addr/sec | API: 12783 | Cache: 17 | Success: 7,884
    Geocoded 12,900/30,797 (41.9%) | 0.5 addr/sec | API: 12883 | Cache: 17 | Success: 7,917
    Geocoded 13,000/30,797 (42.2%) | 0.5 addr/sec | API: 12983 | Cache: 17 | Success: 7,955
    Geocoded 13,100/30,797 (42.5%) | 0.5 addr/sec | API: 13083 | Cache: 17 | Success: 7,984
    Geocoded 13,200/30,797 (42.9%) | 0.5 addr/sec | API: 13183 | Cache: 17 | Success: 8,022
    Geocoded 13,300/30,797 (43.2%) | 0.5 addr/sec | API: 13283 | Cache: 17 | Success: 8,054
    Geocoded 13,400/30,797 (43.5%) | 0.5 addr/sec | API: 13383 | Cache: 17 | Success: 8,093
    Geocoded 13,500/30,797 (43.8%) | 0.5 addr/sec | API: 13483 | Cache: 17 | Success: 8,130
    Geocoded 13,600/30,797 (44.2%) | 0.5 addr/sec | API: 13583 | Cache: 17 | Success: 8,161
    Geocoded 13,700/30,797 (44.5%) | 0.5 addr/sec | API: 13683 | Cache: 17 | Success: 8,193
    Geocoded 13,800/30,797 (44.8%) | 0.5 addr/sec | API: 13783 | Cache: 17 | Success: 8,224
    Geocoded 13,900/30,797 (45.1%) | 0.5 addr/sec | API: 13883 | Cache: 17 | Success: 8,250
    Geocoded 14,000/30,797 (45.5%) | 0.5 addr/sec | API: 13983 | Cache: 17 | Success: 8,279
    Geocoded 14,100/30,797 (45.8%) | 0.5 addr/sec | API: 14083 | Cache: 17 | Success: 8,311
    Geocoded 14,200/30,797 (46.1%) | 0.5 addr/sec | API: 14183 | Cache: 17 | Success: 8,336
